"","x"
"2777",-0.0434557399110251
"2778",-0.0558876413928438
"2779",-0.0369501471133717
"2780",-0.0505597049556836
"2781",-0.0425647786024282
"2782",-0.0491000005146297
"2783",-0.0524943955719055
"2784",-0.0564456782410086
"2785",-0.0524162250777208
"2786",-0.0514401900781832
"2787",-0.0441420006198879
"2788",-0.0407606547832181
"2789",-0.0511408590298675
"2790",-0.0446036989128846
"2791",-0.0557556081689708
"2792",-0.0632541999539028
"2793",-0.0556632455212281
"2794",-0.0686638468730223
"2795",-0.061459822230854
"2796",-0.0467127560780696
"2797",-0.0519104745465456
"2798",-0.04395821428592
"2799",-0.0563636367192117
"2800",-0.0379857488841023
"2801",-0.0531868495165199
"2802",-0.0479044802810108
"2803",-0.0407499899436294
"2804",-0.0481763385942048
"2805",-0.0469040247540121
"2806",-0.058393135085155
"2807",-0.0564453777977885
"2808",-0.0550330177009149
"2809",-0.0412316552689806
"2810",-0.0486982443776221
"2811",-0.0459188150005317
"2812",-0.0541387499974523
"2813",-0.0550122150059817
"2814",-0.050018635068122
"2815",-0.0462534000168096
"2816",-0.0413636378353117
"2817",-0.0447082548885708
"2818",-0.0427562453344712
"2819",-0.0409671553052097
"2820",-0.0404610474319149
"2821",-0.0506871124488353
"2822",-0.0581810408057804
"2823",-0.042865496108945
"2824",-0.0408271630382587
"2825",-0.0441988915294027
"2826",-0.0524546329353838
"2827",-0.0543254318363119
"2828",-0.042220626958994
"2829",-0.0456838166647419
"2830",-0.06180220751828
"2831",-0.05407460183864
"2832",-0.0556002573733242
"2833",-0.06332080822688
"2834",-0.0420247017325887
"2835",-0.0435303887384121
"2836",-0.048476157727129
"2837",-0.0425107791370382
"2838",-0.0532391189108389
"2839",-0.0571659413818555
"2840",-0.0483773725141428
"2841",-0.0522933050832594
"2842",-0.0589723494036639
"2843",-0.0433471557142545
"2844",-0.0419599446534753
"2845",-0.0441977722652535
"2846",-0.0465989360343883
"2847",-0.0530593530208126
"2848",-0.0488030290993621
"2849",-0.0554658505696018
"2850",-0.0550584746149206
"2851",-0.0645095312456251
"2852",-0.0610047553239001
"2853",-0.0597505987295589
"2854",-0.0364875134665036
"2855",-0.0440194828508507
"2856",-0.0486420556018489
"2857",-0.0515987802486595
"2858",-0.0547741969100151
"2859",-0.0491257423833579
"2860",-0.0467196717279333
"2861",-0.0558249387619662
"2862",-0.0371369393605313
"2863",-0.0475109803035724
"2864",-0.0351417756937293
"2865",-0.0351840332679728
"2866",-0.052886001493084
"2867",-0.0436464191043694
"2868",-0.0559750728999633
"2869",-0.0511380775637081
"2870",-0.0473401270927043
"2871",-0.0503084404742785
"2872",-0.056090218332311
"2873",-0.0576684340127396
"2874",-0.0459854702867141
"2875",-0.0506261141538312
"2876",-0.0466842904513048
"2877",-0.0304331951050672
"2878",-0.0328510154357734
"2879",-0.0480440598684463
"2880",-0.0575746355201796
"2881",-0.0527953688682347
"2882",-0.0444337022820914
"2883",-0.0557012985403315
"2884",-0.0578178367662536
"2885",-0.0593249752385196
"2886",-0.048776940143051
"2887",-0.0512171604490492
"2888",-0.0490646328157065
"2889",-0.0480325152613103
"2890",-0.0491029701233577
"2891",-0.0554441349346432
"2892",-0.0459726358843138
"2893",-0.0516195175744283
"2894",-0.0637327342678169
"2895",-0.0408492683752769
"2896",-0.0479161477808495
"2897",-0.055360774491986
"2898",-0.0517000655405795
"2899",-0.0601379833258125
"2900",-0.0455843464620561
"2901",-0.0432941321602433
"2902",-0.0422767397188537
